title,year_range,genre,rating,one-line,votes,runtime,gross,start_year,end_year,director,actors,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_film-noir,genre_game-show,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_news,genre_reality-tv,genre_romance,genre_sci-fi,genre_short,genre_sport,genre_talk-show,genre_thriller,genre_war,genre_western
Paboo & Mojies, 2012–2019,"animation,action,adventure",,"
Paboo is a young yet curious panda boy who lives in a magical land called Mojies Town. One day, he found a magical book up the Moji Tree and decides to get it. After he got the book, a ...                See full summary »
",,,, 2012,2019,,"Johnny Yong Bosch, 
Kathleen Barr, 
Shannon Chan-Kent, 
Michael Daingerfield",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Soup for the Soul's Being Dad,2018– ,reality-tv,,"
Add a Plot
",,,,2018,,,"Elvis Daly, 
Quattro Daly, 
Zeke Daly, 
Eddie Spaghetti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gina Yashere: Skinny B*tch,2008  ,"documentary,comedy",6.4,"
Live DVD from Last Comic Standing star, Gina Yashere.",70,58.0,,2008  ,,Paul M. Green,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big in Bollywood,2011,documentary,7.8,"
27-year-old American-born Omi Vaidya, a struggling actor in L.A., miraculously lands a dream role in the Bollywood film ""3 Idiots"". Curious to better understand the world of Bollywood, four...                See full summary »
",101,69.0,,2011,,,"Omi Vaidya, 
Vidhu Vinod Chopra, 
Kevin Desmond, 
Rajkumar Hirani",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roscoe's House of Chicken n Waffles,2004 ,comedy,4.0,"
To save the live of his friend Roscoe from the clutches of organized criminals, Clyde must devise a way to create a world-class recipe and then turn a struggling cafe into a legendary soul-food restaurant.",63,90.0,,2004 ,,Kennedy Goldsby,"Glenn Plummer, 
Anthony Johnson, 
Clifton Powell, 
Crystal Dawne",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaquero,2011,drama,6.4,"
The story of Julián Lamar, an Argentine actor who tries to get a part in a North American western that will be shot in Argentina.",221,87.0,,2011,,Juan Minujín,"Juan Minujín, 
Guillermo Arengo, 
Daniel Fanego, 
Pilar Gamboa",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Todd Barry: Spicy Honey,2017  ,comedy,6.8,"
With bone-dry wit, stand-up comic Todd Barry dissects texting emergencies, Hitler's taste in wine, pricey soap, cheap pizza and much more.",779,60.0,,2017  ,,Jay Chapman,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarlet,,"adventure,drama,fantasy",,"
Plot kept under wraps.",,,,,,Alice Waddington,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
God Wars,2017,action,,"
Add a Plot
",,,,2017,,Tekin Girgin,"David Blazejko, 
Katrina Grey, 
Lara Heller, 
Hachem Hicham",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hello, Universe",,family,,"
When a bully's antics land a timid boy in the bottom of a well, his self-proclaimed psychic friend and unknowing crush team up to find him.",,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldivas,,"comedy,drama",,"
Add a Plot
",,,,,,,"Carol Castro, 
Manu Gavassi, 
Natalia Klein, 
Bruna Marquezine",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Untitled Colton Underwood/Netflix Project,,reality-tv,,"
Plot under wraps.",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Visions of Us: LGBTQ+ Latine Representation in TV & Film,2021,documentary,,"
Visions of Us is a four-part digital documentary series that celebrates, uplifts and highlights some of the most groundbreaking queer Latinx characters and scenes in TV and Film, and the ...                See full summary »
",,,,2021,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hunt for Atlantis,,"action,adventure",,"
An eccentric billionaire sends Wilde and Chase on a globe-trotting race to discover the legendary lost city and stop a sinister group from possessing the ancient mystical power that sank it 11,000 years ago.",,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Das Privileg, ,,,"
Add a Plot
",,,, ,,,"Max Schimmelpfennig, 
Lise Risom Olsen, 
Caroline Hartig, 
Nadeshda Brennicke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tromba Trem,2010– ,"animation,adventure,comedy",8.7,"
Add a Plot
",40,,,2010,,,"Roberto Rodrigues, 
Maira Kesten, 
Maria Regina, 
Luca De Castro",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bert Visscher: Zelden zoiets gezien,2017  ,"documentary,comedy",7.0,"
In Zelden zoiets gezien, Visscher plays the director of Ter Haxel airport. A tiny airport that can welcome a Boeing for the first time. But first, some adjustments are needed at the airport.",51,108.0,,2017  ,,Joep Krijnen,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Invasion 1897,2014,"biography,drama",2.9,"
Igie Ehanire a research student on African Art history gets touched, he gets more perturbed about the injustice of the British invasion of Benin.",103,113.0,,2014,,Lancelot Oduwa Imasuen,"Murtaza Arif, 
Sandra Idubor, 
Ehigiator Joy Nosa, 
Mike Omoregbee",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Journalist,2021– ,drama,,"
A journalist known as the maverick of news media defiantly chases the truth in this series adaptation of the hit movie of the same name.",,,,2021,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
